bx,by,tris,verts,dx,dz,dy,xmin,xmax,zmin,zmax,ymin,ymax,n_components,smallest_comp_tris,is_coastal,coastal_parts,idalls,topographs,events,areas,umin,umax,vmin,vmax,stride,channels,submeshes,parts,terrain_topographs,worldx,worldz
18,13,9,27,1.71,0.82,6.39,14.355,16.062,-64.0,-63.176,33.547,39.934,1,9,False,[],"{""238"": 9}","{""59"": 9}","{""0"": 9}","{""0"": 9}",0.2041,0.2158,0.2988,0.3398,48,"[0, 1, 3, 7]",1,"[""object"", ""stream"", ""terrain""]","{""0"": 34, ""10"": 67, ""36"": 52, ""37"": 18, ""49"": 346, ""51"": 1, ""59"": 179, ""62"": 39}","[1166.4, 1168.1]","[-896.0, -895.2]"
18,14,131,393,15.67,13.32,7.04,11.371,27.043,-13.32,0.0,32.898,39.934,1,131,False,[],"{""238"": 131}","{""59"": 131}","{""0"": 131}","{""0"": 131}",0.2031,0.3252,0.2852,0.3457,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 11, ""10"": 64, ""11"": 5, ""13"": 19, ""36"": 42, ""37"": 84, ""49"": 304, ""59"": 80}","[1163.4, 1179.0]","[-909.3, -896.0]"
19,10,28,84,12.0,8.0,5.38,52.0,64.0,-64.0,-56.0,26.289,31.672,2,9,False,[],"{""5870"": 28}","{""59"": 28}","{""0"": 28}","{""22"": 28}",0.4033,0.5537,0.0273,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""river"", ""riverjoint"", ""terrain""]","{""10"": 178, ""36"": 140, ""49"": 277, ""62"": 18}","[1268.0, 1280.0]","[-704.0, -696.0]"
19,11,22,66,63.59,46.74,23.93,0.0,63.59,-46.742,0.0,3.195,27.129,3,1,False,[],"{""198"": 4, ""5870"": 15, ""16386"": 3}","{""0"": 3, ""49"": 4, ""59"": 15}","{""0"": 19, ""1"": 3}","{""0"": 7, ""22"": 15}",0.4033,0.4648,0.5967,0.9951,48,"[0, 1, 3, 7]",1,"[""falls"", ""object"", ""river"", ""riverjoint"", ""stream"", ""terrain""]","{""0"": 38, ""49"": 381, ""62"": 57}","[1216.0, 1279.6]","[-750.7, -704.0]"
19,14,155,465,8.0,8.68,2.56,56.0,64.0,-64.0,-55.32,26.066,28.625,1,155,False,[],"{""2798"": 155}","{""59"": 155}","{""0"": 155}","{""10"": 155}",0.3359,0.3975,0.6641,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""2"": 11, ""11"": 25, ""12"": 129, ""49"": 250, ""59"": 6}","[1272.0, 1280.0]","[-960.0, -951.3]"
19,15,92,276,8.0,7.76,2.32,56.0,64.0,-7.762,0.0,26.066,28.383,1,92,True,"[""sea3"", ""sea4"", ""sea5""]","{""2798"": 92}","{""59"": 92}","{""0"": 92}","{""10"": 92}",0.3359,0.4551,0.1562,0.9277,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 18, ""1"": 134, ""49"": 211, ""58"": 24, ""59"": 2}","[1272.0, 1280.0]","[-967.8, -960.0]"
20,10,232,696,9.22,10.21,16.77,0.0,9.219,-64.0,-53.793,26.289,43.062,1,232,True,"[""sea4""]","{""5870"": 232}","{""59"": 232}","{""0"": 232}","{""22"": 232}",0.4033,0.5537,0.0215,0.9277,48,"[0, 1, 3, 7]",1,"[""object"", ""river"", ""sea4"", ""terrain""]","{""0"": 25, ""10"": 76, ""36"": 31, ""49"": 347, ""58"": 10, ""62"": 18}","[1280.0, 1289.2]","[-704.0, -693.8]"
20,11,13,39,7.97,11.95,3.93,0.609,8.582,-11.949,0.0,26.289,30.215,2,5,False,[],"{""5870"": 13}","{""59"": 13}","{""0"": 13}","{""22"": 13}",0.4033,0.5537,0.0557,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""river"", ""riverjoint"", ""terrain""]","{""10"": 182, ""36"": 46, ""49"": 345, ""62"": 17}","[1280.6, 1288.6]","[-715.9, -704.0]"
20,14,131,393,7.96,8.68,2.56,0.0,7.965,-64.0,-55.32,26.066,28.625,1,131,False,[],"{""2798"": 131}","{""59"": 131}","{""0"": 131}","{""10"": 131}",0.3359,0.4092,0.2031,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 7, ""2"": 7, ""11"": 1, ""12"": 186, ""36"": 90, ""49"": 288, ""59"": 6}","[1280.0, 1288.0]","[-960.0, -951.3]"
20,15,86,258,7.96,7.76,2.32,0.0,7.965,-7.762,0.0,26.066,28.383,1,86,True,"[""sea3"", ""sea4"", ""sea5""]","{""2798"": 86}","{""59"": 86}","{""0"": 86}","{""10"": 86}",0.3359,0.4248,0.1562,0.9277,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""1"": 72, ""49"": 302, ""58"": 34, ""59"": 2}","[1280.0, 1288.0]","[-967.8, -960.0]"
21,10,104,312,6.28,8.39,5.53,0.0,6.277,-43.441,-35.055,0.0,5.531,1,104,True,"[""sea4""]","{""6382"": 104}","{""59"": 104}","{""0"": 104}","{""24"": 104}",0.0039,0.1279,0.123,0.1846,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""0"": 72, ""49"": 36, ""58"": 60, ""59"": 6}","[1344.0, 1350.3]","[-683.4, -675.1]"
21,14,18,54,5.18,4.05,4.77,53.043,58.223,-27.254,-23.207,26.07,30.844,1,18,False,[],"{""2798"": 18}","{""59"": 18}","{""0"": 18}","{""10"": 18}",0.3408,0.375,0.3584,0.4062,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 12, ""10"": 32, ""11"": 16, ""12"": 3, ""36"": 158, ""49"": 429}","[1397.0, 1402.2]","[-923.3, -919.2]"
22,14,37,111,3.05,3.07,3.41,4.613,7.668,-7.777,-4.703,26.406,29.812,1,37,True,"[""sea4""]","{""2758"": 20, ""2798"": 17}","{""49"": 20, ""59"": 17}","{""0"": 37}","{""10"": 37}",0.2686,0.3301,0.5293,0.6582,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""0"": 58, ""10"": 24, ""36"": 51, ""49"": 394, ""58"": 34}","[1412.6, 1415.7]","[-903.8, -900.7]"
