tris,verts,nblocks,blocks,dx,dz,dy,wx,wz,y,cx,cz,coast_d,coast_part,nearest,nearest_loc,nearest_d,markers_in_bbox,topos,areas,events,idalls
37,24,1,"[[22, 14]]",3.1,3.1,3.4,"[1412.6, 1415.7]","[-903.8, -900.7]","[26.41, 29.81]",1414.1,-902.2,15.6,sea4,Quan Dwelling,4,25.4,[],"[49, 59]",[10],[0],"{""2758"": 20, ""2798"": 17}"
38,24,1,"[[14, 14]]",1.8,4.7,1.4,"[933.3, 935.1]","[-944.3, -939.5]","[3.77, 5.13]",934.2,-941.9,37.6,sea3,Qu Marsh (Mist),21,1.0,"[""Qu Marsh (Mist)""]",[59],[6],[0],"{""1774"": 38}"
40,25,1,"[[16, 14]]",6.7,5.3,2.0,"[1028.3, 1035.1]","[-960.0, -954.7]","[2.12, 4.09]",1031.7,-957.3,33.6,sea3,Chocobo Forest,19,56.5,[],"[52, 59]",[15],[0],"{""4050"": 16, ""4078"": 24}"
61,46,3,"[[5, 15], [5, 16], [6, 16]]",13.6,9.2,10.0,"[374.8, 388.4]","[-1032.0, -1022.8]","[15.23, 25.21]",381.6,-1027.4,23.3,sea4,Daguerreo,39,2.3,"[""Daguerreo""]","[52, 59]",[48],"[0, 1]","{""12498"": 14, ""12526"": 39, ""28882"": 8}"
68,42,1,"[[14, 15]]",8.9,4.6,6.0,"[912.0, 920.9]","[-1024.0, -1019.4]","[2.97, 8.99]",916.4,-1021.7,30.2,beach1,Lindblum Dragon Gate,23,2.9,"[""Lindblum Dragon Gate""]",[59],[7],[0],"{""2030"": 68}"
76,45,4,"[[16, 14], [16, 15], [17, 14], [17, 15]]",17.7,17.8,7.9,"[1079.1, 1096.8]","[-961.1, -943.2]","[7.95, 15.85]",1088.0,-952.1,35.5,beach1,Chocobo Forest,19,0.3,"[""Chocobo Forest""]",[59],[15],[0],"{""4078"": 76}"
79,54,1,"[[13, 17]]",11.6,7.4,6.2,"[859.8, 871.4]","[-1104.2, -1096.7]","[0.0, 6.2]",865.6,-1100.5,0.0,sea4,Lindblum Harbour,25,1.9,"[""Lindblum Harbour""]",[59],[7],[0],"{""2030"": 79}"
82,47,1,"[[17, 12]]",5.1,4.7,5.4,"[1109.4, 1114.5]","[-796.3, -791.6]","[26.07, 31.51]",1111.9,-794.0,108.8,sea3,Observatory Mtn,12,0.3,"[""Observatory Mtn""]",[59],[2],[0],"{""750"": 82}"
83,48,2,"[[14, 2], [14, 3]]",12.8,12.0,6.3,"[903.2, 916.0]","[-196.0, -184.0]","[0.0, 6.27]",909.6,-190.0,0.0,sea3,Madain Sari,33,1.0,"[""Madain Sari""]",[59],[32],[0],"{""8430"": 83}"
86,53,1,"[[17, 12]]",16.0,12.9,4.3,"[1092.0, 1108.0]","[-812.9, -800.0]","[26.07, 30.39]",1100.0,-806.5,116.1,sea3,Dali,13,5.3,"[""Dali""]","[10, 59]",[2],"[0, 1]","{""554"": 7, ""750"": 64, ""16938"": 3, ""17134"": 12}"
104,66,1,"[[21, 10]]",6.3,8.4,5.5,"[1344.0, 1350.3]","[-683.4, -675.1]","[0.0, 5.53]",1347.1,-679.2,0.0,sea4,Alexandria Harbour,0,3.0,"[""Alexandria Harbour""]",[59],[24],[0],"{""6382"": 104}"
128,96,4,"[[4, 3], [4, 4], [5, 3], [5, 4]]",42.4,36.3,17.3,"[313.6, 356.0]","[-261.7, -225.4]","[21.09, 38.44]",334.8,-243.6,20.4,sea3,Esto Gaza,47,38.0,[],[49],[54],[0],"{""14022"": 128}"
131,77,1,"[[16, 11]]",5.9,15.4,7.0,"[1034.1, 1040.0]","[-762.7, -747.3]","[32.9, 39.93]",1037.1,-755.0,69.2,sea3,North Gate,14,0.4,"[""North Gate"", ""North Gate""]",[59],"[0, 9]",[0],"{""238"": 72, ""2542"": 59}"
140,83,2,"[[18, 13], [18, 14]]",15.7,14.1,7.0,"[1163.4, 1179.0]","[-909.3, -895.2]","[32.9, 39.93]",1171.2,-902.2,86.6,sea3,South Gate,6,1.0,"[""South Gate"", ""South Gate"", ""South Gate"", ""South Gate"", ""South Gate""]",[59],[0],[0],"{""238"": 140}"
149,81,1,"[[6, 12]]",11.1,12.3,7.2,"[388.9, 400.0]","[-804.0, -791.7]","[2.95, 10.15]",394.4,-797.8,44.8,sea3,Oeilvert,41,0.4,"[""Oeilvert""]","[20, 59]",[41],"[0, 1]","{""10578"": 12, ""10734"": 132, ""26962"": 5}"
152,88,2,"[[13, 5], [14, 5]]",14.7,6.5,4.9,"[889.2, 903.9]","[-355.2, -348.7]","[8.41, 13.34]",896.6,-351.9,44.7,sea3,Conde Petie,32,1.9,"[""Conde Petie""]",[59],[27],[0],"{""7150"": 152}"
156,87,1,"[[5, 3]]",10.5,8.3,6.6,"[369.2, 379.7]","[-243.2, -234.9]","[6.77, 13.33]",374.5,-239.0,10.2,sea3,Esto Gaza,47,2.0,"[""Esto Gaza""]",[59],[54],[0],"{""14062"": 156}"
242,137,2,"[[2, 7], [3, 7]]",5.4,6.8,9.4,"[189.3, 194.7]","[-477.3, -470.5]","[-3.35, 6.07]",192.0,-473.9,16.5,sea4,Ipsen Castle,44,0.7,"[""Ipsen Castle""]",[59],[44],[0],"{""11502"": 242}"
256,134,3,"[[19, 10], [20, 10], [20, 11]]",10.3,10.2,16.8,"[1279.0, 1289.2]","[-704.0, -693.8]","[26.29, 43.06]",1284.1,-698.9,59.4,sea4,Alexandria,1,0.2,"[""Alexandria""]",[59],[22],[0],"{""5870"": 256}"
256,133,4,"[[11, 4], [11, 5], [12, 4], [12, 5]]",17.6,17.2,23.0,"[759.1, 776.8]","[-328.5, -311.3]","[12.49, 35.5]",768.0,-319.9,32.7,sea4,Iifa Tree,36,13.7,"[""Iifa Tree""]",[59],[34],[0],"{""8942"": 256}"
293,154,4,"[[13, 16], [13, 17], [14, 16], [14, 17]]",13.6,12.1,13.6,"[889.8, 903.4]","[-1093.5, -1081.4]","[27.05, 40.61]",896.6,-1087.4,25.1,sea4,Lindblum,24,1.0,"[""Lindblum""]",[59],[14],[2],"{""36590"": 293}"
321,172,4,"[[14, 10], [14, 11], [15, 10], [15, 11]]",12.1,15.1,10.0,"[955.1, 967.3]","[-715.7, -700.6]","[2.77, 12.79]",961.2,-708.2,43.6,sea3,Burmecia,17,3.0,"[""Burmecia""]",[59],[9],[0],"{""2542"": 321}"
464,244,4,"[[19, 14], [19, 15], [20, 14], [20, 15]]",16.0,16.4,2.6,"[1272.0, 1288.0]","[-967.8, -951.3]","[26.07, 28.62]",1280.0,-959.5,48.3,sea4,Treno,5,2.5,"[""Treno""]",[59],[10],[0],"{""2798"": 464}"
