field,cam,ncams,w,h,scroll,verts,e_p95,e_max,k_row1,rn_dev,ortho_err,det,pitch
fbg_n00_tshp_map011f_th_stg_6,0,4,320,224,0,35,0.37,0.59,0.93334,5e-05,0.00019,1.0,4.73
fbg_n00_tshp_map011f_th_stg_6,1,4,320,224,0,97,0.0,0.01,0.93336,1e-05,0.0,1.0,0.21
fbg_n00_tshp_map011f_th_stg_6,2,4,320,224,0,92,0.27,1.09,0.93337,0.0001,0.00015,1.0,-0.36
fbg_n00_tshp_map011f_th_stg_6,3,4,320,224,0,86,0.08,0.3,0.93343,0.00012,0.00018,1.0,12.62
fbg_n00_tshp_map011j_th_stg_a,0,3,320,224,0,97,0.04,0.1,0.93331,0.00011,0.00012,1.0,-20.06
fbg_n00_tshp_map011j_th_stg_a,1,3,320,224,0,97,0.03,0.08,0.93328,5e-05,0.00013,1.0,-33.62
fbg_n00_tshp_map011j_th_stg_a,2,3,320,224,0,93,0.01,0.32,0.93344,0.0,0.00019,1.0,13.73
fbg_n00_tshp_map011m_th_stg_d,0,2,366,256,0,97,0.02,0.02,0.93345,0.0,0.0001,1.0,-14.36
fbg_n00_tshp_map011m_th_stg_d,1,2,549,256,1,97,0.04,0.08,0.93328,5e-05,0.00013,1.0,-33.62
fbg_n00_tshp_map012_th_egr_0,0,1,448,224,1,154,0.0,0.0,0.93333,0.0,7e-05,1.0,-43.28
fbg_n00_tshp_map012a_th_egr_1,0,1,320,224,0,40,0.02,0.02,0.93333,8e-05,0.00011,1.0,33.77
fbg_n00_tshp_map013_th_bsu_0,0,1,320,224,0,87,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n00_tshp_map014_th_ust_0,0,1,320,272,0,77,0.01,0.01,0.93323,5e-05,0.00015,1.0,14.43
fbg_n00_tshp_map015_th_cpt_0,0,1,366,256,0,46,0.01,0.01,0.93342,8e-05,9e-05,1.0,-8.54
fbg_n01_alxt_map016_at_msa_0,0,1,320,592,1,81,0.05,0.07,0.93339,0.00011,0.00017,1.0,-38.49
fbg_n01_alxt_map017_at_msb_0,0,1,640,224,1,160,0.02,0.02,0.93336,7e-05,9e-05,1.0,-2.2
fbg_n01_alxt_map018_at_msc_0,0,1,384,288,0,72,0.01,0.05,0.93328,4e-05,0.00012,1.0,-2.15
fbg_n01_alxt_map019n_at_cnt_n,0,1,640,448,1,162,0.06,0.08,0.9334,0.00014,5e-05,1.0,-28.5
fbg_n01_alxt_map020_at_cnt_1,0,1,320,224,0,19,0.66,23.15,0.93329,8e-05,0.00014,1.0,4.09
fbg_n01_alxt_map021_at_bst_0,0,1,320,320,0,32,0.02,0.03,0.93336,0.00013,0.00017,1.0,1.2
fbg_n01_alxt_map022_at_tss_0,0,1,528,432,1,153,0.01,0.01,0.93336,7e-05,0.0001,1.0,-37.45
fbg_n01_alxt_map023_at_rof_0,0,2,416,672,1,410,0.03,0.03,0.9334,1e-05,0.00012,1.0,-49.12
fbg_n01_alxt_map023_at_rof_0,1,2,320,224,0,39,0.0,0.08,0.93336,2e-05,9e-05,1.0,0.2
fbg_n01_alxt_map025_at_gat_0,0,1,480,224,1,164,0.02,0.05,0.9334,5e-05,0.00013,1.0,1.93
fbg_n01_alxt_map026_at_sin_0,0,1,432,512,1,75,0.05,0.06,0.93341,0.0001,0.0001,1.0,0.66
fbg_n01_alxt_map027_at_sln_0,0,1,560,336,1,115,0.03,0.04,0.93338,0.00012,0.00016,1.0,-31.4
fbg_n01_alxt_map028_at_inn_0,0,1,448,480,1,149,0.03,0.06,0.93339,8e-05,5e-05,1.0,-33.77
fbg_n01_alxt_map029_at_sth_0,0,1,416,224,1,101,0.01,0.01,0.9334,4e-05,0.00013,1.0,-0.57
fbg_n01_alxt_map029a_at_hom_a,0,1,352,416,0,117,0.07,0.09,0.93343,0.00017,0.00012,1.0,-34.39
fbg_n01_alxt_map030_at_hom_0,0,1,480,448,1,76,0.02,0.03,0.93328,4e-05,0.00011,1.0,-18.93
fbg_n01_alxt_map031_at_wpn_0,0,1,384,272,0,54,0.02,0.04,0.9334,3e-05,5e-05,1.0,-8.0
fbg_n01_alxt_map032_at_itm_0,0,1,320,224,0,33,0.05,0.06,0.93327,0.00013,8e-05,1.0,-15.03
fbg_n01_alxt_map033_at_mgc_0,0,1,432,224,1,68,0.0,0.01,0.93333,5e-05,0.00019,1.0,-1.73
fbg_n01_alxt_map820_at_msa_a,0,1,320,592,1,98,0.06,0.07,0.93339,0.00011,0.00017,1.0,-38.49
fbg_n01_alxt_map820a_at_msa_b,0,1,320,592,1,74,0.05,0.07,0.93339,0.00011,0.00017,1.0,-38.49
fbg_n01_alxt_map821_at_msb_a,0,1,640,224,1,149,0.02,0.02,0.93336,7e-05,9e-05,1.0,-2.2
fbg_n01_alxt_map821a_at_msb_b,0,1,640,224,1,138,0.02,0.02,0.93336,7e-05,9e-05,1.0,-2.2
fbg_n01_alxt_map822_at_msc_a,0,1,384,288,0,69,0.01,0.05,0.93328,4e-05,0.00012,1.0,-2.15
fbg_n01_alxt_map822a_at_msc_b,0,1,384,288,0,67,0.01,0.05,0.93328,4e-05,0.00012,1.0,-2.15
fbg_n01_alxt_map823_at_cnt_a,0,1,640,448,1,128,0.06,0.08,0.9334,0.00014,5e-05,1.0,-28.5
fbg_n01_alxt_map823a_at_cnt_b,0,1,640,448,1,116,0.06,0.08,0.9334,0.00014,5e-05,1.0,-28.5
fbg_n01_alxt_map824_at_bst_a,0,1,320,320,0,61,0.01,0.02,0.93336,0.00013,0.00017,1.0,1.2
fbg_n01_alxt_map825_at_tss_a,0,1,528,432,1,150,0.01,0.01,0.93336,7e-05,0.0001,1.0,-37.45
fbg_n01_alxt_map826_at_gat_a,0,1,480,224,1,160,0.02,0.05,0.9334,5e-05,0.00013,1.0,1.93
fbg_n01_alxt_map826a_at_gat_b,0,1,480,224,1,144,0.02,0.05,0.9334,5e-05,0.00013,1.0,1.93
fbg_n01_alxt_map827_at_sin_a,0,1,432,512,1,77,0.05,0.06,0.93341,0.0001,0.0001,1.0,0.66
fbg_n01_alxt_map830_at_msa_w,0,1,320,592,1,102,0.05,0.07,0.93339,0.00011,0.00017,1.0,-38.49
fbg_n01_alxt_map832_at_msc_w,0,1,384,288,0,51,0.01,0.04,0.93328,4e-05,0.00012,1.0,-2.15
fbg_n01_alxt_map833_at_cnt_w,0,1,640,448,1,130,0.06,0.09,0.9334,0.00014,5e-05,1.0,-28.5
fbg_n01_alxt_map834_at_bst_w,0,1,320,320,0,60,0.02,0.02,0.93336,0.00013,0.00017,1.0,1.2
fbg_n01_alxt_map835_at_tss_w,0,1,528,432,1,132,0.01,0.01,0.93336,7e-05,0.0001,1.0,-37.45
fbg_n01_alxt_map837_at_sin_w,0,1,432,512,1,69,0.05,0.06,0.93341,0.0001,0.0001,1.0,0.66
fbg_n01_alxt_map839_at_inn_w,0,1,448,480,1,137,0.03,0.06,0.93339,8e-05,5e-05,1.0,-33.77
fbg_n02_alxc_map034_ac_fgo_0,0,1,480,272,1,44,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n02_alxc_map034a_ac_gto_0,0,1,416,368,1,219,0.02,0.02,0.93324,1e-05,3e-05,1.0,-31.56
fbg_n02_alxc_map035_ac_rtw_0,0,1,368,320,0,49,0.02,0.03,0.93329,7e-05,0.0001,1.0,-5.2
fbg_n02_alxc_map036_ac_ltw_0,0,1,320,448,0,42,0.02,0.06,0.93332,9e-05,0.00014,1.0,-21.07
fbg_n02_alxc_map038a_ac_ast_1,0,1,480,224,1,14,0.06,0.08,0.93343,5e-05,0.00023,1.0,2.01
fbg_n02_alxc_map038b_ac_ast_2,0,1,480,224,1,14,0.06,0.07,0.93343,5e-05,0.00023,1.0,2.01
fbg_n02_alxc_map038c_ac_ast_3,0,1,480,224,1,14,0.06,0.07,0.93343,5e-05,0.00023,1.0,2.01
fbg_n02_alxc_map039_ac_rst_0,0,2,320,336,0,172,0.01,0.01,0.93324,6e-05,0.00011,1.0,-28.83
fbg_n02_alxc_map039_ac_rst_0,1,2,320,224,0,172,0.04,0.04,0.93326,0.00014,6e-05,1.0,16.93
fbg_n02_alxc_map039a_ac_rst_1,0,1,320,224,0,92,0.03,0.04,0.93326,0.00014,6e-05,1.0,16.93
fbg_n02_alxc_map040_ac_h3f_0,0,2,432,418,1,175,0.03,0.07,0.9333,8e-05,8e-05,1.0,-52.18
fbg_n02_alxc_map040_ac_h3f_0,1,2,320,336,0,175,0.02,0.24,0.93339,5e-05,8e-05,1.0,5.27
fbg_n02_alxc_map041a_ac_h2f_1,0,2,320,224,0,168,0.05,0.26,0.93322,9e-05,0.00013,1.0,-2.77
fbg_n02_alxc_map041a_ac_h2f_1,1,2,432,418,1,174,0.03,0.07,0.9333,8e-05,8e-05,1.0,-52.18
fbg_n02_alxc_map042_ac_gdr_0,0,1,366,256,0,46,0.02,0.02,0.93343,4e-05,7e-05,1.0,-35.0
fbg_n02_alxc_map043_ac_ptr_0,0,1,640,224,1,83,0.02,0.02,0.93342,6e-05,7e-05,1.0,0.39
fbg_n02_alxc_map044_ac_ktn_0,0,1,400,320,1,61,0.05,0.07,0.93324,0.00016,0.00017,1.0,-25.34
fbg_n02_alxc_map045_ac_lbr_0,0,1,416,288,1,95,0.01,0.02,0.93341,5e-05,9e-05,1.0,-33.74
fbg_n02_alxc_map045a_ac_lbr_1,0,1,320,224,0,43,0.03,0.03,0.93336,8e-05,9e-05,1.0,-3.65
fbg_n02_alxc_map046_ac_fti_0,0,2,352,304,0,281,0.04,0.04,0.93331,0.0001,9e-05,1.0,-60.29
fbg_n02_alxc_map046_ac_fti_0,1,2,640,336,1,279,0.06,0.07,0.93328,0.00012,8e-05,1.0,-4.48
fbg_n02_alxc_map056_ac_lti_0,0,1,320,320,0,93,0.01,0.01,0.93337,5e-05,0.00012,1.0,-71.49
fbg_n02_alxc_map056a_ac_lti_1,0,1,320,336,0,113,0.07,0.25,0.9334,0.0001,0.0002,1.0,3.77
fbg_n02_alxc_map056b_ac_lti_2,0,1,320,400,0,190,0.02,0.03,0.93333,6e-05,0.00018,1.0,-44.81
fbg_n02_alxc_map057_ac_ltt_0,0,1,320,224,0,26,0.05,0.09,0.93342,0.0001,0.00012,1.0,-2.71
fbg_n02_alxc_map061a_ac_lth_0,0,1,384,272,0,67,0.04,0.09,0.93324,5e-05,0.00019,1.0,-1.62
fbg_n02_alxc_map850_ac_lbr_a,0,2,416,288,1,117,0.01,0.02,0.93341,5e-05,9e-05,1.0,-33.74
fbg_n02_alxc_map850_ac_lbr_a,1,2,320,224,0,103,0.15,0.39,0.93336,8e-05,9e-05,1.0,-3.65
fbg_n02_alxc_map852_ac_fgo_a,0,1,480,272,1,45,0.0,0.0,0.93335,0.0,0.0,1.0,-0.0
fbg_n02_alxc_map853_ac_gto_a,0,1,416,368,1,242,0.01,0.02,0.93324,1e-05,3e-05,1.0,-31.56
fbg_n02_alxc_map853a_ac_rst_a,0,2,320,336,0,151,0.01,0.01,0.93324,6e-05,0.00011,1.0,-28.83
fbg_n02_alxc_map853a_ac_rst_a,1,2,320,224,0,151,0.03,0.04,0.93326,0.00014,6e-05,1.0,16.93
fbg_n02_alxc_map854_ac_rtw_a,0,1,368,320,0,50,0.02,0.03,0.93329,7e-05,0.0001,1.0,-5.2
fbg_n02_alxc_map855_ac_ltw_a,0,1,320,448,0,48,0.02,0.06,0.93332,9e-05,0.00014,1.0,-21.07
fbg_n02_alxc_map856_ac_rth_0,0,1,352,272,0,102,0.02,0.04,0.93344,6e-05,0.00017,1.0,9.84
fbg_n02_alxc_map856a_ac_rth_1,0,1,448,288,1,240,0.0,0.01,0.93335,1e-05,0.00015,1.0,-57.51
fbg_n02_alxc_map857_ac_jil_0,0,2,320,288,0,82,0.1,0.55,0.93349,8e-05,6e-05,1.0,35.13
fbg_n02_alxc_map857_ac_jil_0,1,2,640,224,1,84,0.01,0.01,0.93335,0.0,0.0,1.0,-0.0
fbg_n02_alxc_map857b_ac_jil_2,0,1,640,448,1,155,0.04,0.04,0.93324,2e-05,5e-05,1.0,-31.68
fbg_n02_alxc_map858_ac_qrm_0,0,2,416,288,1,155,0.03,0.13,0.93323,5e-05,0.00015,1.0,-20.3
fbg_n02_alxc_map858_ac_qrm_0,1,2,320,320,0,124,0.08,0.54,0.93324,5e-05,0.00014,1.0,7.6
fbg_n02_alxc_map860_ac_ryh_0,0,1,528,272,1,148,0.02,0.03,0.93327,8e-05,5e-05,1.0,6.9
fbg_n02_alxc_map861_ac_dgr_0,0,1,480,224,1,215,0.01,0.01,0.93331,6e-05,9e-05,1.0,2.2
fbg_n02_alxc_map864_ac_srm_0,0,1,384,560,1,273,0.0,0.01,0.9334,8e-05,8e-05,1.0,-47.7
fbg_n02_alxc_map865_ac_fms_0,0,1,480,368,1,171,0.03,0.04,0.93338,9e-05,6e-05,1.0,-31.7
fbg_n02_alxc_map866_ac_maa_0,0,2,416,304,1,227,0.03,0.03,0.93322,0.00012,7e-05,1.0,-0.9
fbg_n02_alxc_map866_ac_maa_0,1,2,384,272,0,75,0.05,0.38,0.93333,0.0001,0.0002,1.0,-7.65
fbg_n02_alxc_map868_ac_sta_0,0,1,432,400,1,138,0.02,0.02,0.93331,7e-05,0.0002,1.0,-31.42
fbg_n02_alxc_map869_ac_stb_0,0,1,432,400,1,203,0.02,0.02,0.93329,4e-05,0.00015,1.0,-38.23
fbg_n02_alxc_map871_ac_tsp_0,0,1,320,400,0,186,0.01,0.02,0.93327,5e-05,0.00011,1.0,-38.67
fbg_n02_alxc_map873_ac_brg_0,0,1,320,560,1,223,0.02,0.02,0.93337,9e-05,0.00024,1.0,-57.9
fbg_n02_alxc_map874_ac_atp_0,0,1,368,256,0,147,0.03,0.04,0.93335,0.00011,7e-05,1.0,-4.9
fbg_n02_alxc_map875_ac_btp_0,0,1,320,272,0,70,0.01,0.01,0.93332,5e-05,2e-05,1.0,-1.79
fbg_n02_alxc_map876_ac_pot_0,0,1,416,320,1,105,0.03,0.04,0.93341,9e-05,0.0002,1.0,-27.7
fbg_n02_alxc_map877_ac_pot_1,0,1,416,320,1,105,0.03,0.04,0.93341,9e-05,0.0002,1.0,-27.7
fbg_n02_alxc_map878a_ac_rst_x,0,2,320,336,0,140,0.01,0.01,0.93324,6e-05,0.00011,1.0,-28.83
fbg_n02_alxc_map878a_ac_rst_x,1,2,320,224,0,140,0.03,0.04,0.93326,0.00014,6e-05,1.0,16.93
fbg_n02_alxc_map879_ac_str_0,0,1,320,496,1,173,0.0,0.0,0.93335,2e-05,8e-05,1.0,1.3
fbg_n02_alxc_map880_ac_ctp_0,0,1,432,320,1,72,0.04,0.05,0.93323,0.00011,7e-05,1.0,6.49
fbg_n02_alxc_map881_ac_st1_0,0,1,368,368,0,94,0.04,0.04,0.93341,0.00011,7e-05,1.0,-24.46
fbg_n02_alxc_map882_ac_st2_0,0,1,320,304,0,53,0.04,0.31,0.93333,5e-05,0.00011,1.0,23.16
fbg_n02_alxc_map883_ac_st3_0,0,1,368,272,0,82,0.04,0.07,0.93341,0.00013,5e-05,1.0,-3.77
fbg_n02_alxc_map884_ac_alt_0,0,1,448,320,1,240,0.0,0.0,0.93331,2e-05,7e-05,1.0,-43.59
fbg_n02_alxc_map885_ac_alt_1,0,1,368,256,0,87,0.04,0.05,0.93324,9e-05,0.00021,1.0,4.64
fbg_n02_alxc_map885a_ac_gto_b,0,1,416,368,1,219,0.02,0.02,0.93324,1e-05,3e-05,1.0,-31.56
fbg_n02_alxc_map885b_ac_dgr_a,0,1,480,224,1,179,0.01,0.01,0.93331,6e-05,9e-05,1.0,2.2
fbg_n02_alxc_map886_ac_dta_w,0,1,320,400,0,187,0.01,0.02,0.93327,5e-05,0.00011,1.0,-38.67
fbg_n02_alxc_map888_ac_gto_w,0,1,416,368,1,212,0.01,0.01,0.93324,1e-05,3e-05,1.0,-31.56
fbg_n02_alxc_map889_ac_ltw_w,0,1,320,448,0,38,0.02,0.06,0.93332,9e-05,0.00014,1.0,-21.07
fbg_n02_alxc_map890_ac_lth_w,0,1,384,272,0,38,0.04,0.08,0.93324,5e-05,0.00019,1.0,-1.62
fbg_n03_bshp_map062_bt_frt_0,0,1,384,336,0,163,0.02,0.02,0.93326,9e-05,9e-05,1.0,-41.22
fbg_n03_bshp_map063_bt_cf1_0,0,1,320,224,0,232,0.02,0.18,0.93331,0.0001,7e-05,1.0,8.28
fbg_n03_bshp_map065_bt_ccd_0,0,2,480,224,1,85,0.03,0.05,0.93339,9e-05,9e-05,1.0,-65.1
fbg_n03_bshp_map065_bt_ccd_0,1,2,480,224,1,85,0.03,0.05,0.93339,9e-05,9e-05,1.0,-65.1
fbg_n03_bshp_map066_bt_ccr_0,0,1,480,336,1,101,0.02,0.06,0.93325,6e-05,0.00015,1.0,-38.23
fbg_n03_bshp_map067_bt_cmr_0,0,1,336,240,0,72,0.0,0.01,0.9333,6e-05,0.00024,1.0,-26.82
fbg_n03_bshp_map068_bt_cus_0,0,2,320,336,0,90,0.01,0.02,0.93335,0.0001,4e-05,1.0,-40.2
fbg_n03_bshp_map068_bt_cus_0,1,2,320,336,0,90,0.01,0.02,0.93335,0.0001,4e-05,1.0,-40.2
fbg_n03_bshp_map068a_bt_str_0,0,1,480,432,1,58,0.03,0.04,0.93327,0.00013,0.00013,1.0,-44.66
fbg_n03_bshp_map069_bt_cnr_0,0,1,480,224,1,85,0.01,0.02,0.93334,4e-05,0.00012,1.0,2.62
fbg_n03_bshp_map070_bt_gtr_0,0,1,384,272,0,84,0.02,0.03,0.93343,0.00011,0.00015,1.0,-29.28
fbg_n03_bshp_map071_bt_ccp_0,0,1,366,256,0,66,0.01,0.01,0.93342,8e-05,9e-05,1.0,-8.54
fbg_n04_evft_map072_ef_ent_0,0,1,480,256,1,87,0.01,0.01,0.93332,5e-05,0.00016,1.0,-36.49
fbg_n04_evft_map073_ef_fr1_0,0,1,384,448,0,118,0.02,0.04,0.93344,0.00012,0.00016,1.0,-31.5
fbg_n04_evft_map074_ef_fr2_0,0,1,384,448,0,136,0.04,0.11,0.93324,9e-05,0.00018,1.0,-22.4
fbg_n04_evft_map075_ef_nrv_0,0,1,320,224,0,20,0.01,0.04,0.93336,8e-05,0.00014,1.0,13.0
fbg_n04_evft_map076_ef_hel_0,0,1,480,272,1,116,0.06,0.08,0.93333,0.00016,0.00012,1.0,-33.73
fbg_n04_evft_map077_ef_nsp_0,0,1,400,352,1,93,0.01,0.02,0.93332,5e-05,0.00015,1.0,-43.11
fbg_n04_evft_map078_ef_fr3_0,0,1,320,560,1,94,0.04,0.05,0.93334,0.00012,0.00019,1.0,-53.74
fbg_n04_evft_map079_ef_dep_0,0,1,416,336,1,239,0.04,0.06,0.93337,0.00011,0.00011,1.0,-38.74
fbg_n04_evft_map080_ef_fr4_0,0,1,480,336,1,53,0.01,0.03,0.93333,0.00011,0.00013,1.0,-24.95
fbg_n04_evft_map081_ef_fr5_0,0,1,320,448,0,55,0.02,0.04,0.93337,8e-05,6e-05,1.0,0.41
fbg_n04_evft_map082_ef_fr6_0,0,1,800,224,1,16,0.02,0.02,0.93335,9e-05,0.00022,1.0,1.86
fbg_n04_evft_map083_ef_ext_0,0,1,320,224,0,10,0.03,0.06,0.93342,8e-05,9e-05,1.0,-0.7
fbg_n04_evft_map084_ef_tnt_0,0,1,368,256,0,41,0.03,0.1,0.93326,6e-05,4e-05,1.0,2.76
fbg_n05_iccv_map085_ic_ent_0,0,1,352,560,1,22,0.03,0.16,0.93336,4e-05,0.00013,1.0,25.49
fbg_n05_iccv_map086_ic_stp_0,0,1,320,368,0,153,0.05,0.1,0.93342,4e-05,0.0002,1.0,-4.0
fbg_n05_iccv_map087_ic_ter_0,0,1,480,336,1,185,0.04,0.04,0.93336,8e-05,0.00019,1.0,-24.66
fbg_n05_iccv_map088_ic_jmp_0,0,1,592,336,1,212,0.02,0.02,0.93327,9e-05,0.00013,1.0,-12.58
fbg_n05_iccv_map089_ic_bri_0,0,1,432,496,1,129,0.03,0.04,0.93325,8e-05,7e-05,1.0,-62.2
fbg_n05_iccv_map090_ic_men_0,0,1,320,448,0,96,0.03,0.05,0.93341,0.00013,0.00017,1.0,-28.69
fbg_n05_iccv_map091_ic_mrm_0,0,1,320,288,0,60,0.07,0.09,0.93327,0.00011,0.00011,1.0,-24.31
fbg_n05_iccv_map092_ic_sta_0,0,1,464,336,1,71,0.03,0.07,0.93322,5e-05,6e-05,1.0,-12.84
fbg_n05_iccv_map093_ic_wbf_0,0,1,320,400,0,89,0.03,0.2,0.93329,6e-05,0.00013,1.0,4.3
fbg_n05_iccv_map094_ic_waf_0,0,1,320,400,0,88,0.03,0.2,0.93329,6e-05,0.00013,1.0,4.3
fbg_n05_iccv_map095_ic_caf_0,0,1,320,320,0,49,0.02,0.02,0.93333,6e-05,0.0002,1.0,-8.69
fbg_n05_iccv_map096_ic_xit_0,0,1,320,224,0,28,0.02,0.03,0.93329,9e-05,0.00013,1.0,1.73
fbg_n06_vgdl_map097_dl_viw_0,0,1,480,336,1,52,0.0,0.01,0.9334,4e-05,0.00015,1.0,3.27
fbg_n06_vgdl_map098_dl_ent_0,0,1,320,224,0,140,0.01,0.03,0.93332,5e-05,0.00011,1.0,-2.59
fbg_n06_vgdl_map099_dl_whl_0,0,1,448,576,1,309,0.01,0.02,0.93331,9e-05,8e-05,1.0,-49.73
fbg_n06_vgdl_map100_dl_fwm_0,0,1,320,224,0,56,0.01,0.02,0.93339,1e-05,0.00016,1.0,-38.84
fbg_n06_vgdl_map101_dl_inn_0,0,1,480,336,1,80,0.01,0.02,0.93335,9e-05,0.00013,1.0,-27.73
fbg_n06_vgdl_map102_dl_inn_1,0,2,480,336,1,77,0.02,0.02,0.93334,0.00011,6e-05,1.0,-33.25
fbg_n06_vgdl_map102_dl_inn_1,1,2,480,224,1,77,0.0,0.01,0.93327,5e-05,0.0001,1.0,-28.16
fbg_n06_vgdl_map103_dl_shp_0,0,1,320,224,0,34,0.01,0.02,0.93333,0.00013,0.00019,1.0,-34.29
fbg_n06_vgdl_map104_dl_myr_0,0,1,416,288,1,83,0.01,0.02,0.93341,8e-05,0.00024,1.0,-28.79
fbg_n06_vgdl_map105_dl_bar_0,0,2,416,224,1,62,0.02,0.03,0.93321,2e-05,9e-05,1.0,-18.87
fbg_n06_vgdl_map105_dl_bar_0,1,2,320,224,0,60,0.05,0.06,0.93326,0.0,0.00018,1.0,-21.56
fbg_n06_vgdl_map106_dl_wms_0,0,1,416,224,1,90,0.01,0.04,0.93328,0.00011,0.00011,1.0,-25.82
fbg_n06_vgdl_map107_dl_wms_1,0,1,320,224,0,88,0.01,0.01,0.93323,4e-05,0.00022,1.0,-54.39
fbg_n07_airp_map108_ap_fid_0,0,1,432,224,1,103,0.02,0.03,0.93331,0.0001,0.00019,1.0,-19.96
fbg_n07_airp_map109_ap_air_0,0,1,480,224,1,4,0.07,0.1,0.93328,8e-05,5e-05,1.0,11.04
fbg_n07_airp_map109a_ap_air_1,0,1,320,224,0,2,0.02,0.03,0.93344,0.00011,0.00021,1.0,11.78
fbg_n07_airp_map109b_ap_air_2,0,1,320,224,0,169,0.06,0.35,0.93329,0.00011,0.00015,1.0,-26.16
fbg_n07_airp_map109c_ap_air_3,0,1,320,256,0,52,0.07,0.27,0.93323,2e-05,9e-05,1.0,19.78
fbg_n07_airp_map110_ap_wte_0,0,1,352,240,0,108,0.03,0.03,0.93337,0.00012,0.00012,1.0,-8.2
fbg_n07_airp_map110a_ap_wte_1,0,1,640,240,1,22,0.01,0.02,0.93337,6e-05,0.00013,1.0,-12.46
fbg_n07_airp_map111_ap_wti_0,0,1,320,224,0,34,0.01,0.01,0.9333,9e-05,0.00013,1.0,-14.44
fbg_n08_udft_map120_uf_ent_0,0,1,432,352,1,200,0.01,0.01,0.93331,6e-05,0.00019,1.0,-7.62
fbg_n08_udft_map121_uf_rst_0,0,1,480,320,1,107,0.01,0.02,0.93337,2e-05,0.00015,1.0,-39.17
fbg_n08_udft_map122_uf_sto_0,0,1,384,304,0,86,0.04,0.06,0.93338,0.00013,0.00013,1.0,-0.45
fbg_n08_udft_map123_uf_sto_1,0,1,448,288,1,243,0.07,0.09,0.93336,0.00015,0.00012,1.0,-32.71
fbg_n08_udft_map124_uf_egg_0,0,1,640,368,1,101,0.06,0.08,0.9333,0.00011,8e-05,1.0,-49.16
fbg_n08_udft_map125_uf_dev_0,0,1,480,224,1,99,0.03,0.05,0.9334,6e-05,0.00022,1.0,0.24
fbg_n08_udft_map126_uf_mst_0,0,1,400,272,1,37,0.07,0.14,0.93321,0.00014,0.00014,1.0,25.4
fbg_n08_udft_map127_uf_blk_0,0,1,320,224,0,40,0.01,0.1,0.93328,4e-05,0.00018,1.0,7.72
fbg_n08_udft_map128_uf_blk_1,0,1,640,448,1,85,0.06,0.1,0.9333,0.00014,6e-05,1.0,-30.08
fbg_n09_cshp_map140_ca_dck_0,0,1,512,240,1,68,0.03,0.03,0.93326,9e-05,7e-05,1.0,-35.87
fbg_n09_cshp_map140a_ca_dck_w,0,1,512,240,1,63,0.03,0.03,0.93326,9e-05,7e-05,1.0,-35.87
